dataset,generator,alpha,n_r,n_s,method,variant,t,rep,seed,ok,error,wall_ms,count_value,count_exact,used_enumeration,enum_truncated,enum_cap,adaptive_branch,adaptive_pilot_pairs,phases_json,note,config_json,gen_report_json
,rectgen,100,10000,10000,ours,sampling,10000,0,1,1,,27.9007,2.01227e+06,1,0,0,0,,0,"{""build_active_indices_ms"":3.928314,""build_event_cache_ms"":0.225592,""build_event_maps_ms"":0.204914,""build_events_ms"":3.321121,""build_ranks_ms"":1.494613,""build_y_domain_ms"":1.528301,""phase1_count_ms"":1.757523,""phase2_plan_ms"":1.075306,""phase3_sample_ms"":14.105999,""run_build_ms"":10.947285,""run_count_ms"":1.758233,""run_sample_ms"":15.186315}",,"{""dataset"":{""source"":""synthetic"",""name"":""alpha100_lite_d2__nr10000__ns10000__a1_000ep02__g7"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""rectgen"",""n_r"":10000,""n_s"":10000,""alpha"":100,""seed"":7}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":10000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/v2/out/alpha100_light/d2"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""WARN"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""alpha100_lite_d2__nr10000__ns10000__a1_000ep02__g7"",""n_r"":10000,""n_s"":10000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":100,""alpha_achieved"":100.627,""notes"":""alacarte-local alpha_expected_est=100.759 coverage=44.6732 pair_p_est=0.0201519 alpha_hat_est=100.627 epsilon_alpha=0.006275 audit_pairs=2000000""}"
,rectgen,100,10000,10000,ours,sampling,10000,1,2,1,,22.5163,2.01227e+06,1,0,0,0,,0,"{""build_active_indices_ms"":0.433157,""build_event_cache_ms"":0.154388,""build_event_maps_ms"":0.208834,""build_events_ms"":3.990039,""build_ranks_ms"":1.412490,""build_y_domain_ms"":1.302178,""phase1_count_ms"":1.738785,""phase2_plan_ms"":0.795968,""phase3_sample_ms"":11.109813,""run_build_ms"":7.522453,""run_count_ms"":1.739564,""run_sample_ms"":11.909981}",,"{""dataset"":{""source"":""synthetic"",""name"":""alpha100_lite_d2__nr10000__ns10000__a1_000ep02__g7"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""rectgen"",""n_r"":10000,""n_s"":10000,""alpha"":100,""seed"":7}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":10000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/v2/out/alpha100_light/d2"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""WARN"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""alpha100_lite_d2__nr10000__ns10000__a1_000ep02__g7"",""n_r"":10000,""n_s"":10000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":100,""alpha_achieved"":100.627,""notes"":""alacarte-local alpha_expected_est=100.759 coverage=44.6732 pair_p_est=0.0201519 alpha_hat_est=100.627 epsilon_alpha=0.006275 audit_pairs=2000000""}"
,rectgen,100,10000,10000,ours,sampling,10000,2,3,1,,22.3182,2.01227e+06,1,0,0,0,,0,"{""build_active_indices_ms"":0.431116,""build_event_cache_ms"":0.156458,""build_event_maps_ms"":0.206654,""build_events_ms"":2.982867,""build_ranks_ms"":1.416110,""build_y_domain_ms"":1.383872,""phase1_count_ms"":1.723306,""phase2_plan_ms"":0.796208,""phase3_sample_ms"":11.059127,""run_build_ms"":6.597836,""run_count_ms"":1.723785,""run_sample_ms"":11.859354}",,"{""dataset"":{""source"":""synthetic"",""name"":""alpha100_lite_d2__nr10000__ns10000__a1_000ep02__g7"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""rectgen"",""n_r"":10000,""n_s"":10000,""alpha"":100,""seed"":7}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":10000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/v2/out/alpha100_light/d2"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""WARN"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""alpha100_lite_d2__nr10000__ns10000__a1_000ep02__g7"",""n_r"":10000,""n_s"":10000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":100,""alpha_achieved"":100.627,""notes"":""alacarte-local alpha_expected_est=100.759 coverage=44.6732 pair_p_est=0.0201519 alpha_hat_est=100.627 epsilon_alpha=0.006275 audit_pairs=2000000""}"
,rectgen,100,10000,10000,kd_tree,sampling,10000,0,1,1,,81.1078,2.01227e+06,1,0,0,0,,0,"{""build_ms"":1.799100,""build_points_ms"":1.796940,""phase1_count_ms"":36.380401,""phase2_plan_ms"":0.533618,""phase3_fill_ms"":42.380553,""run_build_ms"":1.805359,""run_count_ms"":36.381571,""run_sample_ms"":42.919311}",,"{""dataset"":{""source"":""synthetic"",""name"":""alpha100_lite_d2__nr10000__ns10000__a1_000ep02__g7"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""rectgen"",""n_r"":10000,""n_s"":10000,""alpha"":100,""seed"":7}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":10000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/v2/out/alpha100_light/d2"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""WARN"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""alpha100_lite_d2__nr10000__ns10000__a1_000ep02__g7"",""n_r"":10000,""n_s"":10000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":100,""alpha_achieved"":100.627,""notes"":""alacarte-local alpha_expected_est=100.759 coverage=44.6732 pair_p_est=0.0201519 alpha_hat_est=100.627 epsilon_alpha=0.006275 audit_pairs=2000000""}"
,rectgen,100,10000,10000,kd_tree,sampling,10000,1,2,1,,81.0156,2.01227e+06,1,0,0,0,,0,"{""build_ms"":1.818128,""build_points_ms"":1.815488,""phase1_count_ms"":36.490343,""phase2_plan_ms"":0.520049,""phase3_fill_ms"":42.179759,""run_build_ms"":1.818568,""run_count_ms"":36.491163,""run_sample_ms"":42.704398}",,"{""dataset"":{""source"":""synthetic"",""name"":""alpha100_lite_d2__nr10000__ns10000__a1_000ep02__g7"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""rectgen"",""n_r"":10000,""n_s"":10000,""alpha"":100,""seed"":7}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":10000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/v2/out/alpha100_light/d2"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""WARN"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""alpha100_lite_d2__nr10000__ns10000__a1_000ep02__g7"",""n_r"":10000,""n_s"":10000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":100,""alpha_achieved"":100.627,""notes"":""alacarte-local alpha_expected_est=100.759 coverage=44.6732 pair_p_est=0.0201519 alpha_hat_est=100.627 epsilon_alpha=0.006275 audit_pairs=2000000""}"
,rectgen,100,10000,10000,kd_tree,sampling,10000,2,3,1,,80.8444,2.01227e+06,1,0,0,0,,0,"{""build_ms"":1.818248,""build_points_ms"":1.815698,""phase1_count_ms"":36.353423,""phase2_plan_ms"":0.509590,""phase3_fill_ms"":42.154320,""run_build_ms"":1.818818,""run_count_ms"":36.354223,""run_sample_ms"":42.669520}",,"{""dataset"":{""source"":""synthetic"",""name"":""alpha100_lite_d2__nr10000__ns10000__a1_000ep02__g7"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""rectgen"",""n_r"":10000,""n_s"":10000,""alpha"":100,""seed"":7}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":10000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/v2/out/alpha100_light/d2"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""WARN"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""alpha100_lite_d2__nr10000__ns10000__a1_000ep02__g7"",""n_r"":10000,""n_s"":10000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":100,""alpha_achieved"":100.627,""notes"":""alacarte-local alpha_expected_est=100.759 coverage=44.6732 pair_p_est=0.0201519 alpha_hat_est=100.627 epsilon_alpha=0.006275 audit_pairs=2000000""}"
,rectgen,100,10000,10000,ours,sampling,50000,0,1,1,,26.9893,2.01227e+06,1,0,0,0,,0,"{""build_active_indices_ms"":1.670310,""build_event_cache_ms"":0.158438,""build_event_maps_ms"":0.214943,""build_events_ms"":2.980087,""build_ranks_ms"":1.409580,""build_y_domain_ms"":1.301038,""phase1_count_ms"":1.756293,""phase2_plan_ms"":1.588516,""phase3_sample_ms"":15.791108,""run_build_ms"":7.797201,""run_count_ms"":1.757183,""run_sample_ms"":17.432740}",,"{""dataset"":{""source"":""synthetic"",""name"":""alpha100_lite_d2__nr10000__ns10000__a1_000ep02__g7"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""rectgen"",""n_r"":10000,""n_s"":10000,""alpha"":100,""seed"":7}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":50000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/v2/out/alpha100_light/d2"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""WARN"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""alpha100_lite_d2__nr10000__ns10000__a1_000ep02__g7"",""n_r"":10000,""n_s"":10000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":100,""alpha_achieved"":100.627,""notes"":""alacarte-local alpha_expected_est=100.759 coverage=44.6732 pair_p_est=0.0201519 alpha_hat_est=100.627 epsilon_alpha=0.006275 audit_pairs=2000000""}"
,rectgen,100,10000,10000,ours,sampling,50000,1,2,1,,25.5815,2.01227e+06,1,0,0,0,,0,"{""build_active_indices_ms"":0.429426,""build_event_cache_ms"":0.160448,""build_event_maps_ms"":0.203534,""build_events_ms"":4.079241,""build_ranks_ms"":1.416399,""build_y_domain_ms"":1.298259,""phase1_count_ms"":1.731035,""phase2_plan_ms"":1.369603,""phase3_sample_ms"":13.750017,""run_build_ms"":7.609306,""run_count_ms"":1.731725,""run_sample_ms"":15.130409}",,"{""dataset"":{""source"":""synthetic"",""name"":""alpha100_lite_d2__nr10000__ns10000__a1_000ep02__g7"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""rectgen"",""n_r"":10000,""n_s"":10000,""alpha"":100,""seed"":7}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":50000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/v2/out/alpha100_light/d2"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""WARN"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""alpha100_lite_d2__nr10000__ns10000__a1_000ep02__g7"",""n_r"":10000,""n_s"":10000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":100,""alpha_achieved"":100.627,""notes"":""alacarte-local alpha_expected_est=100.759 coverage=44.6732 pair_p_est=0.0201519 alpha_hat_est=100.627 epsilon_alpha=0.006275 audit_pairs=2000000""}"
,rectgen,100,10000,10000,ours,sampling,50000,2,3,1,,25.6576,2.01227e+06,1,0,0,0,,0,"{""build_active_indices_ms"":0.429207,""build_event_cache_ms"":0.155158,""build_event_maps_ms"":0.205904,""build_events_ms"":2.986297,""build_ranks_ms"":1.415309,""build_y_domain_ms"":1.308717,""phase1_count_ms"":1.733295,""phase2_plan_ms"":1.377362,""phase3_sample_ms"":13.826951,""run_build_ms"":6.521401,""run_count_ms"":1.734205,""run_sample_ms"":15.214433}",,"{""dataset"":{""source"":""synthetic"",""name"":""alpha100_lite_d2__nr10000__ns10000__a1_000ep02__g7"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""rectgen"",""n_r"":10000,""n_s"":10000,""alpha"":100,""seed"":7}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":50000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/v2/out/alpha100_light/d2"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""WARN"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""alpha100_lite_d2__nr10000__ns10000__a1_000ep02__g7"",""n_r"":10000,""n_s"":10000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":100,""alpha_achieved"":100.627,""notes"":""alacarte-local alpha_expected_est=100.759 coverage=44.6732 pair_p_est=0.0201519 alpha_hat_est=100.627 epsilon_alpha=0.006275 audit_pairs=2000000""}"
,rectgen,100,10000,10000,kd_tree,sampling,50000,0,1,1,,107.831,2.01227e+06,1,0,0,0,,0,"{""build_ms"":1.803610,""build_points_ms"":1.800930,""phase1_count_ms"":36.515994,""phase2_plan_ms"":3.236347,""phase3_fill_ms"":66.259557,""run_build_ms"":1.804050,""run_count_ms"":36.516974,""run_sample_ms"":69.507874}",,"{""dataset"":{""source"":""synthetic"",""name"":""alpha100_lite_d2__nr10000__ns10000__a1_000ep02__g7"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""rectgen"",""n_r"":10000,""n_s"":10000,""alpha"":100,""seed"":7}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":50000,""seed"":1,""repeats"":3,""j_star"":1000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/v2/out/alpha100_light/d2"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""WARN"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""alpha100_lite_d2__nr10000__ns10000__a1_000ep02__g7"",""n_r"":10000,""n_s"":10000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":100,""alpha_achieved"":100.627,""notes"":""alacarte-local alpha_expected_est=100.759 coverage=44.6732 pair_p_est=0.0201519 alpha_hat_est=100.627 epsilon_alpha=0.006275 audit_pairs=2000000""}"
